Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
         2   (0.0%)           2   (0.0%)     GraphQL::Schema::EnumValue#description
         3   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#push_type
         2   (0.0%)           2   (0.0%)     GraphQL::Query::NullContext.instance
        51   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::ArgumentsAreDefined#on_argument
        13   (0.0%)           2   (0.0%)     JSON.generate
        37   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::ArgumentLiteralsAreCompatible#on_argument
         6   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::LiteralValidator#recursively_validate
         2   (0.0%)           2   (0.0%)     GraphQL::TypeKinds::TypeKind#union?
       400   (0.2%)           2   (0.0%)     GraphQL::Language::Parser#parse_document
       582   (0.3%)           2   (0.0%)     GraphQL::StaticValidation::FragmentsAreOnCompositeTypes#on_fragment_definition
         2   (0.0%)           2   (0.0%)     GraphQL::Language::Nodes::FragmentDefinition#children
         2   (0.0%)           2   (0.0%)     GraphQL::TypeKinds::TypeKind#scalar?
         4   (0.0%)           2   (0.0%)     GraphQL::Language::Nodes::Argument#children
         2   (0.0%)           2   (0.0%)     GraphQL::Language::Parser#_reduce_33
         2   (0.0%)           2   (0.0%)     GraphQL::Language::Nodes::Field#initialize_node
         2   (0.0%)           2   (0.0%)     GraphQL::Schema.query
         2   (0.0%)           2   (0.0%)     Array#flatten
     90482  (50.1%)           2   (0.0%)     GraphQL::Execution::Interpreter::Runtime#run_eager
         2   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#validate_fragment_in_scope
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#initialize
         3   (0.0%)           1   (0.0%)     GraphQL::Schema.directives
       926   (0.5%)           1   (0.0%)     Kernel#catch
       923   (0.5%)           1   (0.0%)     GraphQL::StaticValidation::OperationNamesAreValid#on_document
       921   (0.5%)           1   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#on_document
         2   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#initialize
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#document
       304   (0.2%)           1   (0.0%)     GraphQL::StaticValidation::VariableNamesAreUnique#on_operation_definition
         3   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#initialize
       302   (0.2%)           1   (0.0%)     GraphQL::StaticValidation::VariableUsagesAreAllowed#on_operation_definition
         8   (0.0%)           1   (0.0%)     GraphQL::Schema::Warden#root_type_for_operation
       298   (0.2%)           1   (0.0%)     GraphQL::StaticValidation::SubscriptionRootExists#on_operation_definition
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::BaseVisitor.including_rules
       938   (0.5%)           1   (0.0%)     GraphQL::StaticValidation::Validator#validate
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.references_to
         9   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#on_fragment_spread
        11   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#on_fragment_spread
         1   (0.0%)           1   (0.0%)     GraphQL::Language::Nodes::Field#visit_method
         1   (0.0%)           1   (0.0%)     GraphQL::Language::Parser#_reduce_30
         8   (0.0%)           1   (0.0%)     GraphQL::Language::Visitor#on_argument
         1   (0.0%)           1   (0.0%)     GraphQL::Language::Parser#_reduce_100
         8   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#validate_literal
         3   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::LiteralValidator#maybe_raise_if_invalid
